assignedGroup,assignedTC,docAffected,docId,projApproved,projectId,projectStatus,workType,projectLink,projectMilestone,updateDependency,workNotes,projApprovedDate
smpte-35pm-tc,smpte-35pm-tc,"[""rdd45-2017""]",rdd45-20xx,true,rdd45-20XX-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tc,smpte-21dc-tc,undefined,rdd53-20XX,true,rdd53-20xx-id,Open,Intial Draft,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_3376055662?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fcNkHTzJfuE-XBC6UnHgH_mQABF7c%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC+RDD+53+-+Transport+of+digital+cinema+content+with+multiple+dynamic+range+(RDD)+(OLC+Legacy)+in+Projects+(RDD)&context=%7b%0d%0a++%22subEntityId%22%3a+%22ii4Bf3bxOUG2whgKVIY592QAG8VI%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""tsp2121-1-2018""]",rdd59-1-20xx,true,rdd59-1-20XX-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""tsp2121-4-2019""]",rdd59-2-20xx,true,rdd59-2-20XX-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-stsub,smpte-21dc-tc,undefined,rp428-22-20XX,true,rp428-22-20XX-id,Open,Intial Draft,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC+RP+428-22+D-Cinema+Distribution+Master+%25u2013+Minimal+Timed+Text+XML+Requirements+(RP)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22EkkOdTQRTkatxf4Z3VmXAmQAH-uu%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,"[{""miledateEnd"":""2021-08-13T07:00:00.000Z"",""miledateStart"":""2021-07-31T07:00:00.000Z"",""milestoneAct"":""Pre-FCD Review (30%)""},{""current"":true,""miledateEnd"":""2022-02-01T07:00:00.000Z"",""miledateStart"":""2021-10-19T07:00:00.000Z"",""milestoneAct"":""PCD (45%)""}]",undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""rp428-4-2010""]",undefined,false,rp428-4-2010rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC+428-4+Update+(ST)+(OLC+Legacy)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22wULzMha4FkWaC04QhEWiNGQAPK58%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""st2067-101-2018""]",st2067-101-20xx,true,st2067-101-2017-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""st2067-102-2017""]",st2067-102-20xx,true,st2067-102-2017-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,undefined,st2067-104-20xx,true,st2067-104-201xx-id,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,undefined,st2067-105-20xx,true,st2067-105-20xx-id,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,undefined,st2067-106-20xx,true,st2067-106-20xx-id,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""rdd47-2018""]",st2067-20x-20xx,true,st2067-20x-20xx-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,"[""st2067-21-2020"",""st2067-21-2020-am1-2020""]",st2067-21-20xx,true,st2067-21-2020-rev-001,Open,Revision,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,undefined,st2067-60-20xx,true,st2067-60-20xx-id,Open,Intial Draft,undefined,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,undefined,st2067-70-20xx,true,st2067-70-20xx-id,Open,Intial Draft,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st428-1-2019""]",undefined,false,st428-1-2019-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st428-10-2008""]",undefined,false,st428-10-2008-rev-001,Pending,Revision,undefined,undefined,"[""st428-7-20XX""]",undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st428-11-2013""]",undefined,false,st428-11-2013-rev-001,Pending,Revision,undefined,undefined,undefined,Should be updated as per GH issue,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st428-2-2006""]",undefined,false,st428-2-2006-rev-001,Pending,Revision,undefined,undefined,undefined,Revise at next review (2023) - See GitHub for ISO TC 36 comment responses,undefined
smpte-21dc-tcdg-stsub,smpte-21dc-tc,"[""st428-7-2014""]",st428-7-20XX,true,st428-7-2014-rev-001,Open,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC+428-7+Subtitle+DCDM+Revision+(ST)+(OLC+Legacy)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22zN-TAPi_V0uLDuIrT-WOHGQALTd8%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-10-2008""]",undefined,true,st429-10-2008-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-10-202X-Revision-D-Cinema+Packaging+-+Stereoscopic+Picture+Track+File+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22BJNbVwOEt0CDLodKaWjPc2QAGJx7%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,"[""st429-7-2006""]",undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-12-2008""]",undefined,false,st429-12-2008-rev-001,Pending,Revision,undefined,undefined,"[""st429-7-2006""]",undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-14-2014""]",undefined,true,st429-14-2014-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-14-202X-Revision-D-Cinema+Packaging+%25u2014+Aux+Data+Track+File+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%221VXebsVtt06Q2bx3Elbzg2QAHhIS%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-16-2014""]",undefined,true,st429-16-2014-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-16-202X-Revision-Additional+Composition+Metadata+and+Guidelines+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%221HV9C6Mt4kylra4tNO9yKmQAHOPJ%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-17-2017""]",undefined,false,st429-17-2017-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-18-2019""]",undefined,true,st429-18-2019-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-18-202X-Revision-D-Cinema+Packaging+-+Immersive+Audio+Track+File+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22npU0KyixfEKxnmgvoC3LvWQAFhvk%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-19-2019""]",undefined,true,st429-19-2019-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-19-202X-Revision-D-Cinema+Packaging+-+DCP+Operational+Constraints+for+Immersive+Audio+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22k2RpWX78bkKOOUQ0NHUCuWQAGGHk%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-2-2020""]",undefined,true,st429-2-2020-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-2-202X-Revision-+D-Cinema+Packaging+-+DCP+Operational+Constraints+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22Yjj2B89tIkWuAhDdbRpB32QAOej-%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
